Municipio,SE,Casos,Mediana,Q1,Q3
Rio Bananal,27,8.0,0.0,0.0,1.0
Rio Bananal,28,4.0,0.0,0.0,0.0
Rio Bananal,29,2.0,0.0,0.0,0.25
Rio Bananal,30,3.0,0.0,0.0,1.0
Rio Bananal,31,10.0,0.0,0.0,0.0
Rio Bananal,32,4.0,0.0,0.0,0.0
Rio Bananal,33,5.0,0.0,0.0,1.0
Rio Bananal,34,10.0,0.0,0.0,0.0
Rio Bananal,35,3.0,0.0,0.0,0.0
Rio Bananal,36,2.0,0.0,0.0,1.0
Rio Bananal,37,,0.0,0.0,0.0
Rio Bananal,38,,0.0,0.0,0.0
Rio Bananal,39,,0.0,0.0,0.0
Rio Bananal,40,,0.0,0.0,0.0
Rio Bananal,41,,0.0,0.0,0.0
Rio Bananal,42,,0.0,0.0,0.0
Rio Bananal,43,,0.0,0.0,0.0
Rio Bananal,44,,0.0,0.0,0.0
Rio Bananal,45,,0.0,0.0,0.0
Rio Bananal,46,,0.0,0.0,0.0
Rio Bananal,47,,0.0,0.0,0.0
Rio Bananal,48,,0.0,0.0,1.0
Rio Bananal,49,,0.0,0.0,0.0
Rio Bananal,50,,0.0,0.0,0.0
Rio Bananal,51,,0.0,0.0,0.25
Rio Bananal,52,,0.0,0.0,0.0
Sooretama,1,2.0,0.5,0.0,5.75
Sooretama,2,12.0,0.0,0.0,7.0
Sooretama,3,2.0,1.0,0.0,10.0
Sooretama,4,5.0,0.0,0.0,12.75
Sooretama,5,9.0,1.0,0.0,10.25
Sooretama,6,5.0,0.5,0.0,10.5
Sooretama,7,5.0,0.0,0.0,10.25
Sooretama,8,7.0,1.5,0.0,14.75
Sooretama,9,11.0,1.0,0.0,5.25
Sooretama,10,11.0,1.0,0.0,8.5
Sooretama,11,11.0,1.0,0.0,6.0
Sooretama,12,5.0,1.5,0.0,4.75
Sooretama,13,6.0,1.0,0.0,7.25
Sooretama,14,3.0,2.0,0.0,10.25
Sooretama,15,8.0,2.0,0.0,7.75
Sooretama,16,4.0,2.0,0.0,7.5
Sooretama,17,3.0,1.5,0.75,7.0
Sooretama,18,4.0,2.0,0.0,5.75
Sooretama,19,4.0,2.0,0.0,7.25
Sooretama,20,2.0,2.0,0.0,8.5
Sooretama,21,4.0,1.0,0.0,7.75
Sooretama,22,1.0,3.0,0.0,11.0
Sooretama,23,3.0,2.0,0.0,8.0
Sooretama,24,3.0,1.0,0.0,7.5
Sooretama,25,4.0,1.0,0.0,5.0
Sooretama,26,1.0,1.0,0.75,6.75
Sooretama,27,1.0,0.0,0.0,7.0
Sooretama,28,3.0,1.0,0.0,2.25
Sooretama,29,2.0,0.0,0.0,5.0
Sooretama,30,8.0,1.0,0.0,3.0
Sooretama,31,7.0,2.0,1.0,2.25
Sooretama,32,3.0,1.0,0.75,1.25
Sooretama,33,1.0,1.0,0.0,2.0
Sooretama,34,1.0,0.0,0.0,1.75
Sooretama,35,0.0,0.5,0.0,1.25
Sooretama,36,0.0,0.0,0.0,2.25
Sooretama,37,,1.0,0.0,1.0
Sooretama,38,,0.0,0.0,1.25
Sooretama,39,,0.0,0.0,1.5
Sooretama,40,,0.0,0.0,0.5
Sooretama,41,,1.0,0.0,1.0
Sooretama,42,,0.0,0.0,2.0
Sooretama,43,,0.0,0.0,0.0
Sooretama,44,,0.0,0.0,1.0
Sooretama,45,,0.0,0.0,0.5
Sooretama,46,,0.0,0.0,0.25
Sooretama,47,,0.5,0.0,1.75
Sooretama,48,,0.5,0.0,3.0
Sooretama,49,,0.0,0.0,1.0
Sooretama,50,,0.0,0.0,2.5
Sooretama,51,,0.0,0.0,3.0
Sooretama,52,,1.0,0.75,2.25
São Domingos do Norte,1,1.0,0.0,0.0,1.0
São Domingos do Norte,2,1.0,0.0,0.0,1.25
São Domingos do Norte,3,3.0,0.0,0.0,0.5
São Domingos do Norte,4,2.0,0.0,0.0,0.5
São Domingos do Norte,5,5.0,0.0,0.0,1.25
São Domingos do Norte,6,1.0,0.0,0.0,1.5
São Domingos do Norte,7,0.0,0.0,0.0,6.5
São Domingos do Norte,8,2.0,0.0,0.0,14.75
São Domingos do Norte,9,3.0,1.5,0.0,12.75
São Domingos do Norte,10,1.0,0.5,0.0,14.0
São Domingos do Norte,11,2.0,0.0,0.0,9.25
São Domingos do Norte,12,3.0,1.0,0.0,14.25
São Domingos do Norte,13,1.0,0.5,0.0,11.0
São Domingos do Norte,14,5.0,1.0,0.0,12.0
São Domingos do Norte,15,3.0,1.5,0.75,6.75
São Domingos do Norte,16,1.0,0.5,0.0,5.5
São Domingos do Norte,17,4.0,0.5,0.0,4.5
São Domingos do Norte,18,7.0,0.5,0.0,3.5
São Domingos do Norte,19,18.0,1.0,0.0,5.0
São Domingos do Norte,20,3.0,0.0,0.0,4.5
São Domingos do Norte,21,3.0,0.0,0.0,3.5
São Domingos do Norte,22,4.0,0.0,0.0,2.75
São Domingos do Norte,23,8.0,0.0,0.0,1.75
São Domingos do Norte,24,4.0,0.5,0.0,1.25
São Domingos do Norte,25,4.0,0.0,0.0,0.25
São Domingos do Norte,26,3.0,0.0,0.0,1.0
São Domingos do Norte,27,3.0,0.0,0.0,0.25
São Domingos do Norte,28,2.0,0.0,0.0,0.25
São Domingos do Norte,29,1.0,0.0,0.0,0.25
São Domingos do Norte,30,2.0,0.0,0.0,1.25
São Domingos do Norte,31,1.0,0.0,0.0,1.25
